Title,Frame Code Mode
"2 Cities, 2 Approaches To Immigrants",5.1
2 FIRMS FINED FOR BREAKING FOREIGN WORKER RULES,7.1
2 KILLED IN VAN WRECK NEAR IMMIGRATION CHECKPOINT,9.1
2 Senior Republican Lawmakers Buck Party to Oppose Effort to Bar Education of Illegal Aliens,13.1
2 Sentenced In Smuggling Fatal to 10,7.1
"2 accused of selling visas for up to $30,000",7.1
2 sides agree INS needs big overhaul; Panel to vote today on agency's split,13.1
"2 workers killed in second van accident; Following Monday's deadly crash in Wilmington, a van carrying 18 Hispanic laborers overturned in Lehigh County.",9.1
20 BUSINESSES FINED UNDER IMMIGRATION LAW,7.1
"20 Charged With Helping 13,000 Cheat on Test for Citizenship",7.1
200 Chinese Deportees Caught at U.S. Border,7.1
"2000 census will speak in variety of languages; Goal is to reach, count immigrants",2.1
2003 GUIDE BOOK: PEOPLE: GLOBAL INFLUENCE: International community finds a place to call home,11.1
2010 Deportation Hearing Is Set for Obama's Aunt,5.1
21 Immigrants Fired After Missing Work for Rally,1.1
22 CHINESE ALIENS STRANDED IN JERSEY,5.1
24-year-old accused of raping 13-year-old,7.1
"25 area airport workers arrested; IMMIGRATION AGENTS SWEEP THROUGH S.F, S.J.",7.1
26 more arrested at Newark's airport; The total is 158 since last week in an investigation of rings smuggling immigrants from Mexico.,7.1
266 REJOICE AT TAKING OATH OF CITIZENSHIP,10.1
"27 Businesses In Montgomery Fined by INS; Feb. Immigrant Roundup Draws $154,000 in Levies",1.1
29 ILLEGAL IMMIGRANTS ARE ARRESTED IN AREA,7.1
3 Charged With Smuggling Deaf Mexicans,7.1
3 MEN ARRESTED IN DEAF MEXICAN SMUGGLING CASE,7.1
3 Men Charged With Forging Documents; Officials Say Green Card Operation Preyed on Immigrants,7.1
3 Prison Guards Guilty of Abuse Of Immigrants,7.1
3 SENTENCED FOR FORCING 700 INTO SLAVERY IN GROVES,7.1
3 WITNESSES FOUND IN CONTEMPT FOR REFUSING TO TESTIFY ON ALIENS,7.1
3 are held in fatal van crash on I-70,7.1
3 inmates flee INS detention,7.1
"3 other states weighing tough immigration bills; Despite lawsuit, Okla., S.C. and Utah may follow Arizona's lead",5.1
"30,000 voices, one message at Capitol; St. Paul march for immigration reform is the largest gathering at the Statehouse since a Sept. 11 memorial",12.1
300 queue up to get visas at Charlotte office,2.1
"300,000 immigrants sent home In 2 years since tough law approved, number returned more than doubled",7.1
31 HAITIANS DETAINED AFTER WADING ASHORE,7.1
"32 percent of Latino students try suicide; That's twice the rate as white, black classmates",9.1
34 Cuban immigrants come ashore in Ocean Ridge,7.1
375 gang members arrested in operation,7.1
"3rd Suspect, 15, Held in Newark Killings as Hunt Continues",7.1
4 ARE CONVICTED OF ENSLAVING MIGRANT WORKERS IN THE SOUTH,7.1
4 HOSPITALS AGREE TO ADD TRANSLATORS FOR IMMIGS,9.1
4 Haitians With HIV Admitted to U.S.; Entry of Refugees for Medical Care Said to Be No Change in Policy,9.1
4-Year-Old Girl Is Returned From Guatemala to Parents,7.1
"40,000 BARRED FROM THE U.S.",8.1
455 HAITIANS PACKED ON 3 BOATS RESCUED 70 MILES OFF MIAMI,9.1
470-plus students' residency unclear; Regents issue report on fall enrollment.; State board working to ensure correct tuition rates are charged.,5.1
5 CUBANS HELD IN PROBE OF BOAT HIJACKING,7.1
"5 Charged in Work Visa Fraud; Men Secured False Papers for Immigrants, Indictment Alleges",7.1
5 HUNTED MEN LINKED TO FAKE PASSPORT RING,7.1
5 citizens sue over tactics used in immigration raid,5.1
"5 injured, including girl, 8, on icy I-70 An SUV carrying six illegal immigrants rolls; the girl is airlifted to Children's Hospital.",9.1
"5,000 expected at immigration walk",12.1
50 IN PEACE GROUP TO GET VISAS FOR SESSION AT U.N.,5.1
500 new citizens take the oath in mass ceremony,5.1
53 REFUGEES MAY BE FREED / THEY'VE BEEN HELD SINCE FLEEING CHINA ABOARD THE GOLDEN VENTURE IN 1993.,5.1
535 PASS FIRST HURDLE ON FIRST DAY OF THE AMNESTY PROGRAM,5.1
56 arrested in connection with child sex crime case,7.1
"6 CONVICTED, 5 CLEARED OF PLOT TO SMUGGLE IN ALIENS FOR SANCTUARY",7.1
6 Guards in New Jersey Charged With Beating Jailed Immigrants,7.1
6 TIME PERIODS DEFINE SWEDISH IMMIGRATION; MINNESOTA WAS POISED TO GET LARGEST NUMBER,11.1
"6 TYSON FOODS OFFICIALS FACE FEDERAL CHARGES OF SMUGGLING IMMIGRANTS; SCHEME INCLUDED TWO MISSOURI PLANTS, AUTHORITIES SAY",5.1
6 illegal immigrants found in cargo truck; Men discovered in routine search not in secure area near airport.,7.1
6 quit Perdue's Latino board; No input on law on illegals cited,13.1
62 New Guards Will Reinforce Arizona Border,8.1
69 Immigrant Workers Held in Baltimore Area Raids,7.1
69% SAY GUEST WORKER PLAN OK,12.1
690 STOPPED IN ILLEGAL CROSSINGS,7.1
6TH CONGRESSIONAL DISTRICT Ex-GOP backer tests Tancredo's 6-year hold on seat The three-term incumbent has seen support slide within his own party over his immigration reform campaign. Joanna Conti says her values reflect the district better.,13.1
7 Bodies of Asian Immigrants Unidentified After 3 Weeks,9.1
7 Days of Desperation Along Mexican Border; Migrants' Dreams Die in Brutal Crossing,9.1
7 I.N.S. Employees and 26 Others Are Charged With Selling False Immigration Papers,7.1
7 JORDANIANS HELD AT CANADIAN BORDER ARE CLEARED OF TERRORISM,8.1
7 SUSPECTED IMMIGRANTS FOUND DEAD,9.1
7 Thais Enter Guilty Pleas For Detention In Sweatshop,7.1
7 at plant accused of hiring illegals,7.1
"7,000 Middle Eastern men register with INS as ordered",11.1
"7,898 From 39 Nations Held in Anti-Smuggling Raids",7.1
7.5 MILLION APPLY TO U.S. FOR PERMANENT RESIDENCY,5.1
75 immigrants naturalized in ceremony on USS Hornet; RITES FULL OF SYMBOLISM IN ALAMEDA GIVE SPECIAL MEANING TO INDEPENDENCE HOLIDAY,5.1
757 Haitians may have political asylum eligibility,5.1
"77 Aliens, in Debt to Smugglers, Found in Captivity in California",7.1
79 PASSENGERS HELD AS ALIENS,7.1
8 Charged in Crackdown on White Tigers Gang,7.1
8 Illegal Immigrants Found at Md. Pizzeria,7.1
"80,000 LEGAL ALIENS SET TO LOSE FOOD AID",10.1
"800,000 spared deportation ; Obama says those with no record can stay -- for now.",6.1
86 BOOTED FROM PRISON & DEPORTED,7.1
9 Die as Haitian Immigrants' Boat Sinks,9.1
"9 arrested in raids targeting ecstasy, pot",7.1
"9,200 MORE LEGAL IMMIGRANTS IN AREA MAY GET FOOD STAMPS",5.1
92 Captive Aliens Are Rescued in a Raid,9.1
94 REFUGEES SAIL FROM HAITI TO FLORIDA KEYS,7.1
96 Chinese Held as Illegal Aliens,7.1
A 'DREAM' TURNS DEADLY   Jimmy Breslin details an immigrant's tragedy,9.1
A 'Hire American' boost ; Companies that fill jobs from overseas should have to pay more.,1.1
A 'neighborhood watch' at the nation's borders,8.1
A 4th Body Is Discovered in the Waters Off Queens,9.1
A BOOST FOR NEWS' SPECIAL IMMIG HOTLINE,10.1
A BOOST FOR SECURITY,8.1
A Better Senate Bill on Immigration,6.1
A Bill That Earned Its Doubters,6.1
A Border-Tightening Congressman Has Immigrants in His Own Backyard,13.1
A Brave New World of Work,1.1
A Bridge Across the Rio Grande,15.1
A Build-a-Protest Approach to Immigration,12.1
A Bush Rule Bolstering Deportations Is Withdrawn,5.1
A Citizenship Incubator for Immigrant Latinos,5.1
A City of Immigrants Is Pictured in Report,11.1
A Closer Look at Some of the More Hotly Disputed Assertions,12.1
A DEFENDER FOR IMMIGRANT CHILDREN,3.1
A DIFFERENT FAMILY RITUAL: HOT POT; COMING TOGETHER AROUND A CONTAINER OF BOILING BROTH,11.1
A FATHER SAYS GOODBYE,10.1
A Failure of Discretion,6.1
A Fair Policy On Immigration,4.1
A Fearful Dilemma for Alien Families,10.1
A Federal Jury Indicts 2 In Immigration Scheme,5.1
A Fervent 'No' To Assimilation In New America,11.1
"A Flood of Applications, With a Trickle of Approvals",2.1
A Good Decision,6.1
A Grand Pact Goes Wrong,13.1
A Guilty Plea's Fallout; Va. Woman's Theft May Lead to Deportation,7.1
A HEARTY WELCOME 18 COUPLES GET ULTIMATE VALENTINE'S DAY GIFT - AMERICAN CITIZENSHIP,10.1
A HELPING HAND FOR THE HAITIANS; Passaic resident is filling the role of honorary consul,10.1
A Haven for Abused Women,9.1
A JOURNAL-CONSTITUTION SPECIAL REPORT; CHICKEN: HOW SAFE?; SECOND OF TWO PARTS; CHICKEN: AT WHAT COST?,5.1
A Jamaican Way Station in the Bronx; Community of Striving Immigrants Fosters Middle-Class Values,11.1
A LOST DREAM REBORN,10.1
A Labor Shortage?,1.1
A Legacy in Immigration,13.1
"A Long Wait On the Doorstep; At Immigration Offices, Amid Lines and Lost Time, An Old Hope Survives",2.1
A Long Walk For a Cause,15.1
A MEDICAL PREDICAMENT,9.1
"A MOTHER'S DILEMMA; AS THE TWIN CITIES BECOME HOME TO MORE IMMIGRANT WOMEN, SOME OF THEIR MOST PERSONAL SORROWS - SUCH AS FEMALE CIRCUMCISION - ARE BECOMING MORE PUBLIC.",10.1
"A Mother Deported, and a Child Left Behind",7.1
A Multi-Ethnic Kosovo Doesn't Make Sense; Billboards of Hate,4.1
A NATION AT WAR: IMMIGRANT MARINES; Latinos Gave Their Lives To New Land,8.1
A NATION CHALLENGED: CHARITY; Second Loss Compounds Widow's Grief,10.1
A NATION CHALLENGED: DETAINEES; Civil Rights Groups Allowed to Visit Two Jails in New Jersey,7.1
A NATION CHALLENGED: IMMIGRATION; BUSH SETS OPTION OF MILITARY TRIALS IN TERRORIST CASES,8.1
A NATION CHALLENGED: IMMIGRATION; Congress Set to Break Up Beleaguered Agency,13.1
A NATION CHALLENGED: NATIONAL MEASURES; Entire Nation On High Alert As Security Is Stepped Up,8.1
A NATION CHALLENGED: NOTEBOOKS; More Eyes Toward Canada,11.1
A NATION CHALLENGED: STUDENT VISAS; EFFORTS TO TRACK FOREIGN STUDENTS ARE SAID TO LAG,2.1
A NATION CHALLENGED: THE BORDERS; Official Urges Combining Several Agencies to Create One That Protects Borders,8.1
A NATION CHALLENGED: THE DETAINED; Immigrants Refuse Meals to Protest Treatment,7.1
A NATION CHALLENGED: THE HOLY LAND FOUNDATION; Paterson Again Finds Itself With Links to Sept. 11,8.1
A NATION CHALLENGED: THE IMMIGRANTS; Testing The System Of Relief,5.1
A NATION CHALLENGED: THE IMMIGRATION AGENCY; 4 Top Officials On Immigration Are Replaced,7.1
A NATION CHALLENGED; Marshals Transfer Detainee to Chicago,7.1
A NATION CHALLENGED; The New Regulation,6.1
A NATION OF IMMIGRANTS DEBATES IMMIGRATION CITIZENS' FEARS ABOUT THE EFFECT ON ECONOMICS AND CULTURE ARE PROMPTING PROPOSALS TO REVISE LIBERAL POLICIES.,1.1
A NATIONAL IDENTITY CARD COULD LEAD TO OTHER GOVERNMENT CONTROLS,5.1
A National Registry for Work,1.1
A Nominee Toasts His Good Fortune,10.1
A PLEDGE AND A PROMISE,15.1
A PREMATURE RUSH TO JUDGMENT,5.1
A RATIONAL IMMIGRATION POLICY ISN'T RACISM,4.1
A REAL EARFUL; WHAT CONSTITUENTS ARE TELLING THEIR LEGISLATORS:,12.1
A RECORD DAY ON PHONE LINES,2.1
"A Recipe for Weakness; By limiting visas for skilled foreign professionals, the United States only harms itself.",1.1
A Resource for the 'Other Westchester',2.1
A Rush for Work Visas Even as Demand Dips,5.1
A SACRIFICE FOR FREEDOM,15.1
A SENSELESS DEPORTATION,7.1
A STATE OF LIMBO RULES THE LIVES OF POLISH ALIENS,10.1
A STEEL VALLEY'S DEATH: MEMORIES AND DESPAIR,10.1
"A Set of Borders to Cross; For Children Seeking Immigrant Relatives in U.S., Journey Is Twofold",10.1
A Shameful Ban; The United States should end a prohibition against HIV-positive visitors and immigrants.,3.1
A Slow Start for INS,15.1
A Special Visa Program Benefits Abused Illegal Immigrants,5.1
A Storm Over Arizona and Immigrants,15.1
"A Strong, but Divisive, Voice for Immigrants; Boycott of Pr. William Will Test Leader",12.1
A Suspected Agent for bin Laden Pleads Guilty to Illegally Entering the U.S.,5.1
"A TALE OF ANGUISH: HOW ONE LATINA MISSED NETWORK / FEELING ABANDONED, MIGUELINA ESTEVEZ, 19, KILLED HER 3 SONS AND HERSELF. OTHERS LIKE HER HAVE FOUND HELP.",10.1
A TOUCH OF VIETNAM: THE MAKING OF A VIBRANT COMMUNITY Grant Park Apartments are gateway to new world Community center started by a refugee eases immigrants into the mainstream,11.1
A Tale of Two Conquests; An epic history compares the British and Spanish colonies in the New World.,11.1
A Tale of Two Elections,13.1
"A Test Of Faith; In the Orthodox Church, New and Old Ways Clash",3.1
"A Thriving Mosque, Built on a Dream",10.1
A Treasure On Paper Goes Public,1.1
A WORD OR TWO ABOUT LITERACY,11.1
A WORKING START Program boosts immigrants into workforce quickly,1.1
"A WORLD OF FLAVOR ALMOST EVERY CUISINE HAS ITS VERSION OF AN INTERNATIONAL; FAVORITE, CHICKEN AND RICE",11.1
A YEAR LATER: ATLANTA REMEMBERS: IMMIGRANTS: New citizens show their U.S. spirit,12.1
A bad birthright idea,6.1
A better way to address immigration problems,6.1
A clear case for compassion,3.1
A clear decision on immigration,5.1
A corporate 'feeding frenzy'; Visas push is about helping companies rather than workers,1.1
A disregard for personal freedom,4.1
"A dream deferred With tighter border, more Mexicans stay home",10.1
A fairy tale ending to INS horror story,10.1
A good place to start,15.1
A harsh reality of immigration,10.1
"A kinder, gentler immigration system?",3.1
A letter to Jesica,15.1
A long legal road Immigration o Federal injunction against Arizona law should prompt Missourians to review their own efforts. OTHER VIEWS,5.1
A lost decade for immigration reform,6.1
A lotta Latino loving Immig stance aids Bam,13.1
A migrant society,11.1
"A migrant surge from Mexico; Spurred by a proposed U.S. work-visa program, illegal border crossings are up sharply.",2.1
A new visa guaranteed to stop hijackers,6.1
A phony tool to stop illegal immigration,6.1
A potential tidal wave come election time,13.1
A protest festively flavored,12.1
A quick foreign trip by boat? Let Uncle Sam know,8.1
"A reasonable, permanent immigration policy needed",6.1
"A reluctant enforcer City cites fiscal, social costs of policing immigrants",7.1
A self-defeating immigrant policy,6.1
A simple tool to help stem the tide,2.1
A suicidal stand on Hispanics,9.1
A teen's citizenship dream,5.1
"A welcome to the community Program helps immigrants adjust, prepares Littleton for changing population A $6.4 million initiative in 10 Colorado cities and counties focuses on ways to ``integrate'' many new residents.",11.1
ABOUT LONG ISLAND,15.1
ABROAD AT HOME; Yearning to Breathe Free,11.1
ABSURD IMMIGRATION POLICIES NEED FIXING,6.1
ACADEMY'S REPORT SAYS IMMIGRATION BENEFITS THE U.S.,1.1
ACT OF DESPERATION; CHUE TOU VANG'S SONS SAY THE THREATENED CUTOFF OF THEIR FATHER'S FEDERAL AID LEFT HIM IN DESPAIR SO DEEP THAT THE ELDERLY LAOTIAN IMMIGRANT KILLED HIMSELF.,1.1
AD CAMPAIGN ALLEGES NON-CITIZEN VOTING FALLOUT: RADIO SPOTS INVITE LISTENERS TO PROVIDE EVIDENCE.,7.1
AD WATCH; Evaluating the Political Message,13.1
ADMINISTRATION BALKS AT COST OF AMNESTY FOR ILLEGAL ALIENS,1.1
ADS CRITICIZE TUITION BREAK FOR STATE'S ILLEGAL IMMIGRANTS PROPOSAL WOULD ALLOW SOME TO PAY IN-STATE RATE,1.1
ADVISER IN MEXICAN GOVERNMENT ASSAILS REAGAN IMMIGRATION PLAN,14.1
ADVOCATES DRAFTING PLAN FOR IMMIGRATION SOLUTIONS,6.1
ADVOCATES KNOCK HIL'S IMMIG PLAN,12.1
AFGHANS CONTEST DETENTION IN U.S.,7.1
AFL-CIO: GIVE ILLEGALS A BREAK IT BACKS AMNESTY AND NO SANCTIONS,13.1
AFRICAN COUPLE GET BIG PRESENT,10.1
AFRICAN GAINS ASYLUM AFTER 2-YEAR STRUGGLE,5.1
AFTER THE RIOTS; Riots Put Focus on Hispanic Growth and Problems in South-Central Area,11.1
"AFTER TWO MARIELS,; NO MAS",15.1
"AGENCY STEPS UP INQUIRIES ON FOREIGN STUDENTS; MIZZOU HAS BEEN ASKED FOR DATA ON 1,300 AT ITS CAMPUS",6.1
"AHEAD OF FOX VISIT, BUSH WARNS: AMNESTY PUSH APPEARS STALLED",6.1
AID PUSH BY THREE IN COUNCIL Want help for immigrants,10.1
AIDES SAY THAT SEA PATROL HAS SLOWED HAITIAN ENTRIES,8.1
AIDING KIN IN ASIA; HELP HMONG LEARN TO WORK THE SYSTEM,10.1
AIDS DEMONSTRATION  ACTIVISTS PROTEST IMMIGRATION POLICY,12.1
AIDS and Immigration,9.1
AIDS panel gives immigrants a voice,9.1
AIR TRAGEDY CAN'T OPEN U.S. BORDERS,8.1
AIRPORTS FACE IDENTITY CRISIS,11.1
ALIEN DETENTION CENTER ERECTED IN TEXAS,7.1
ALIEN DETENTION CENTER HELD INADEQUATE,2.1
ALIEN FORCES IN JUPITER,8.1
"ALIEN RAIDS OPENED UP JOBS, AIDE SAYS",1.1
"ALIENATED BY FEDS EMIGRES RALLY, RIP AID CURBS",12.1
"ALIENS BILL ALIENATES RUDY, WHO SEES 140M HIT",6.1
ALIENS BILL NEARS REALITY,6.1
ALIENS FACING $185 FEE ON AMNESTY,1.1
ALIENS LEAVE THE SHADOWS AS YEAR OF AMNESTY DAWNS,5.1
ALIENS' PHONY DEADLINE INS RULES EVEN CONFUSE ITSELF,5.1
"ALL ABOARD THE CITIZEN SHIP; THE RUSH FOR NATURALIZATION, DRIVEN PARTLY BY NEW WELFARE RULES, IS KEEPING INS OFFICES IN THE TWIN CITIES BUSY. BUT MANY OLDER, NON-ENGLISH-SPEAKING RESIDENTS MAY BE LEFT BEHIND.",2.1
ALL CLINTON APPLICANTS FACE `ZOE BAIRD' TEST,13.1
"ALL IT TAKES IS AN OFFICE, A PC AND INSURANCE",2.1
AMERICA'S GOLDEN DOOR STILL CLOSED FOR HAITIANS,4.1
AMERICA: a land of diversity,11.1
AMERICAN DREAM UNITES MARCHERS,11.1
AMERICAN IMMIGRANTS WHO COME AND GO,10.1
"AMERICANS WANT A CHANGE - CUT, REFORM LEGAL IMMIGRATION",12.1
AMERICANS WARM UP TO IMMIGRATION,11.1
AMNESTY FOR ILLEGALS NO GOOD FOR U.S.,5.1
AMNESTY PLAN; Try the third way,5.1
AN ARMY OF PROTESTERS,12.1
AN ILLEGAL ALIEN WORKED 5 YEARS FOR HUFFINGTONS,1.1
AN IMMIGRANTS' ARCHBISHOP,3.1
AN INS FINGERPRINT RULE CAN NO LONGER RULE OUT CITIZENSHIP / SOME PEOPLE HAVE FINGERPRINTS TOO FINE TO BE READ. THAT HAS CAUSED PLENTY OF TROUBLE WITH THE INS.,5.1
"AN INVISIBLE POPULATION; IMMIGRANTS ARE CARVING OUT THEIR NEW LIVES IN A HEARTLAND CITY WHERE THEY BLEND IN SO QUIETLY, FEW NOTICE THEY'RE HERE",11.1
ANGUISH RESIDES IN NEW IMMIG LAWS,6.1
ANSWERNET,15.1
"ANTI-FOREIGNER SENTIMENT WORRIES IMMIGRANTS, EXPERTS; FORUM WILL ADDRESS LAWMAKERS' PLANS TO DEAL WITH ISSUE",10.1
ANTI-IMMIGRATION GROUPS START AD CAMPAIGN IN IOWA,13.1
ANTI-IMMIGRATION ORGANIZATION TO LAUNCH FLORIDA BALLOT DRIVE,12.1
ANTI-IMMIGRATION SCREED IGNORES VALUE TO NATION,12.1
APPEAL BOARD REVERSES DECISION ON DEPORTATIONS BASED ON DUI CONVICTIONS,5.1
APPLICANTS RACE CLOCK,2.1
"ARAB CABBIE SIGNED IN, FEDS MAY TOSS HIM OUT",7.1
"ARAB POPULATION IN U.S. ALMOST DOUBLES, CENSUS SHOWS/ LIBERALIZED IMMIGRATION, MIDDLE EAST UNREST ARE CITED AS FACTORS",11.1
"ARIZ. GOV SEZ BAM DENIES BORDER FENCE, WILL SEND HER SOME GUARDSMEN",8.1
ARIZ. LAW TAKES HEAT FROM TROP PROTESTERS,6.1
ARIZ. LIKELY CENTER STAGE FOR PRESSING FOR CHANGE,4.1
"ARIZONA IMMIGRATION LAW REQUIRES POLICE TO SEE A CRIME BEFORE CHECKING LEGAL STATUS, GOP STATE SENATOR SAYS",5.1
AROUND THE NATION; 119 Aliens Are Arrested Living Under Highways,7.1
AROUND THE NATION; 2 Men Get 5-Year Terms In Alien-Smuggling Case,7.1
AROUND THE NATION; 26 Aliens Found Locked In Railroad Car in Texas,9.1
AROUND THE NATION; Bogus Contest Lures 55 Aliens Into Custody,7.1
AROUND THE NATION; Border Patrol Pilot Hurt In Manhunt for Escapee,9.1
"AROUND THE NATION; Border Patrol at Tijuana Catches 49,599 Aliens",8.1
