title,first_tone_annotation,first_framing_annotation
THEATER REVIEW; 'Tintypes': A Cheer For the Melting Pot,17.35,11.2
World Briefing  Asia: Japan: Bobby Fischer Loses Appeal,18.3,7.2
Hung V. Nguyen Title: Senio ...,,
Seeing Vote's Effects Far Beyond Herndon; Immigration Opponents Cheer Election,18.3,13.2
Relatives of Immigrants Testify at Hearing,17.35,5.2
Immigration Officials In Seattle Detain Saudi,19.35,7.2
"Chinese-run job agencies face scrutiny over work; Raided by feds: Companies lure Hispanics, but some say laborers may find jobs help to be costly.",19.35,7.2
Immigration reform faces a wide divide,19.35,6.2
How We Respond to Illegal Immigration,18.3,5.2
California braces for wave of new voters,,13.2
Protest disrupts regents meeting,19.35,12.2
Martinez: GOP has work to do,18.3,13.2
Field hands vs. machines; Technology's potential part of immigration debate,,2.2
"DON'T DEPORT MY DAD, KIDS PLEAD",17.35,5.2
96 Chinese Held as Illegal Aliens,19.35,7.2
Nation splits 4 ways on illegals; Compromise could alienate half of USA,18.3,12.2
Border agents' view: Target the employers,19.35,6.2
Mexico's Open Southern Border Lures Migrants Headed to U.S.,17.35,9.2
Former Border Agents Arrested,,
"Arizona Sheriff Conducts Immigration Raid at City Hall, Angering Officials",19.35,7.2
"U.S., FLORIDA TARGET ILLEGAL IMMIGRANTS",19.35,7.2
Immigrant Voters' Split Ticket; Some U.S. Citizens Also Cast Ballots in Homeland,17.35,13.2
"STAR-SPANGLED NEW CITIZENS Stout-hearted, strong-minded immigrants commit to America",17.35,11.2
U.S. to recruit churches to aid immigrants,,6.2
Los Angeles immigration protesters rolling to Arizona,17.4,12.2
OUR PICKS Exhibition Open ...,,
AIRPORTS FACE IDENTITY CRISIS,17.35,8.2
AT A GLANCE,,
CRIME & JUSTICE,17.35,5.2
Nunez visits Mexico to talk immigration; SPEAKER SAYS HE TRIED TO EASE ANGER AT GOVERNOR'S REMARKS,19.35,14.2
Smugglers work 'loophole' in law,19.35,5.2
Federal Policy Resulting in Wave of Deportations Draws Protests,17.35,12.2
1 IN 11 U.S. RESIDENTS BORN ABROAD - DOUBLE 1970 LEVEL THE CENSUS STUDY CHALLENGES SOME STEREOTYPES. THE MORE SETTLED IMMIGRANTS TEND TO RISE OUT OF POVERTY.,,11.2
Real test awaits 'invisible'immigrants,17.4,10.2
86 BOOTED FROM PRISON & DEPORTED,,7.2
An Insult to Miss Liberty,17.35,13.2
Change Rejected in Aliens Bill,19.35,13.2
"An Immigrant's Legal Enterprise; In Suing Employer, Maid Fights Diplomatic Immunity",17.35,5.2
JUDGE FROM BOCA ANGERS ATTORNEYS,19.35,5.2
U.S. rewrites the rules of immigration,18.3,5.2
U.S. could let Haitians stay here a while; Undocumented might get temporary permits because of disaster.; 81 from various nations to get citizenship today.,17.35,6.2
TELEVISION REVIEW; French Role in Sending Jews to Death,,
GUANTANAMO EXPRESS,,7.2
Fewer applications for H-1B visas expected this year,19.35,2.2
"Not Having the Right Employees in the Right Places Undermines Some Agencies, Report Finds",,
Shut ICE detention facilities,17.4,6.2
Asylum Seekers Detained in Australia Suspend Hunger Strike,,
FORT PIERCE POLICE SNARE TWO HAITIANS,19.35,7.2
Addressing Asylum Abuses,17.35,5.2
IMMIGRANTS CONSOLIDATING POWER OF VOTE,17.35,13.2
Immigration,17.35,10.2
TUNISIAN FLIGHT STUDENTS ARE KICKED OUT OF U.S.; NO CONNECTION WITH SEPT. 11 ATTACKS SEEN,19.35,8.2
"Daschle, Gephardt Visit Mexico; U.S. Leaders Hope to Return Attention to Immigration Issues",17.35,13.2
TO JUDGE A PLEA FOR ASYLUM FAIRLY AND SPEEDILY,17.35,5.2
REJECTED ALIENS MAY BE JAILED,19.35,6.2
COURT: CAN'T HELP SOMALIAN TEEN STAY A FEDERAL JUDGE SAID HE HAD NO JURISDICTION IN THE CASE. THE ISSUE IS THE SAME ONE FACING ELIAN GONZALEZ.,19.35,5.2
THE WRONG WAY TO FIX IMMIGRATION,17.4,6.2
FBI USED TRAP TO CATCH U.S. OFFICIAL CHARGED WITH SPYING FOR CUBA,19.35,8.2
FBI Sting at INS Found an Unlikely Cuban Spy Suspect,19.35,7.2
S.J. DISTRICTS FILE LAWSUIT AGAINST PROP. 187,17.35,5.2
EX-ST. RAY'S STAR GRANT FACING EXILE,17.35,5.2
"FILM, DISCUSSION TO EXPLORE CONTRIBUTIONS OF IMMIGRANTS",17.35,10.2
NOTEWORTHY,19.35,9.2
JURY SET TO DECIDE FATE OF MAN IN FATAL SMUGGLING TRIP,17.35,7.2
"America's Promise, Found in the Army; To More Immigrant New Yorkers, A Better Life Begins in Uniform",17.35,1.2
"Border Agents, Lured by the Other Side",19.35,7.2
READERS WRITE,17.4,2.2
New Protection for Refugees From Right-Wing Oppression,17.35,6.2
No apologies for protecting the public,19.35,8.2
Why Are We Losing Our Foreign Students?,17.4,5.2
BILL AIMS AT HELPING KOREANS; LAWMAKER TARGETS DEPORTATION EFFORTS,17.35,7.2
"EDITORIAL Ski bum: another job Americans won't do? Colorado ski resorts increasingly are turning to Latin American students, not ski bums, to staff lift lines, mountaintop restaurants and fill other jobs.",17.35,1.2
State Certificate Hits the Big Time; Tenn. Document Proves a Magnet To Immigrants and Black Market,19.35,5.2
In the Nation,18.3,9.2
PARAMILITARY GROUP THAT CAUGHT 15 ALIENS PLANS MORE PATROLS,19.35,8.2
New campaign aims to prevent modern-day slavery in America,,10.2
Legislature 2006: Parts of bill target 'human trafficking',17.35,6.2
Attacks Shelve GOP Effort to Woo Hispanics,19.35,13.2
SMITH URGES MIAMI BUSINESSMEN AS HEAD OF IMMIGRATION SERVICE,,
CHESS LEGEND ARRESTED ON 1992 CHARGE IN U.S.,18.3,7.2
A Nominee Toasts His Good Fortune,17.4,10.2
"VESSEL BEGINS VIGIL FOR ALIENS TODAY ,",19.35,8.2
GOP returns to illegal immigrants Legislators seek to deny bail to those accused of repeat DUI or other serious crimes.,19.35,7.2
,,
READERS WRITE,17.4,11.2
EXITING GOV TWEAKS LAW FOR IMMIGS,19.35,6.2
What immigration reform requires,17.35,2.2
'NO HUMAN BEING IS ILLEGAL',,
IMMIGRATION NOT STATE'S TOP PRIORITY,17.35,1.2
Unlikely foes of Md. Dream Act,19.35,12.2
"BRING BACK THE DRAFT To fight this war, put the best & brightest to wo rk in security jobs",,
Court curbs lawsuit options of disabled state employees,19.35,5.2
"WITH RULING, FEAR OVER GANG MELTS AWAY",17.35,5.2
Opinion: Lou Dobbs and his issues,17.35,4.2
White House Plan on Immigration Includes Legal Status,17.35,6.2
,19.35,5.2
Mexico announces amnesty for illegal immigrants,,
Reckonings; My Beautiful Mansionette,19.35,4.2
Race fades as an issue in California,18.3,13.2
Vidalia onion wars pit growers vs. INS; Conflict underscores growers' dependence on migrant workers,17.35,1.2
Brutal End to an Immigrant's Voyage of Hope,18.3,7.2
GLOBAL PALATES; ETHNIC FOODS ARE BIG BUSINESS IN AMERICA AS U.S. TASTES EXPAND. BUT GETTING A BITE OF THE PROFITS TAKES HEAVY MARKETING AND LOTS OF HARD WORK.,17.35,11.2
GRILLED ... MCNARY GETS SKEPTICISM,18.3,1.2
WORLD,,
CRIME & JUSTICE,19.35,7.2
IMMIGRANTS' CHILDREN FARE WELL IN STUDY,17.35,10.2
IN OTHER ACTION,,
Immigration Service Urges Legal Residents to Replace Expired 'Green Cards',18.3,5.2
HOUSE ADVANCES BILL TOUGH ON 'ILLEGALS',19.35,13.2
House: no school for illegal aliens,19.35,6.2
"' HOODWINKED' HOSPITAL FREES STOWAWAY, 44",19.35,7.2
THEATER REVIEW; Immigrants' Tales,17.35,11.2
Immigration Announcement May Overshadow Romney Bus Tour,18.3,13.2
"INS deports a record 111,794",19.35,7.2
Immigration Upended: Damien Cave Answers Readers' Questions,18.3,7.2
Farmers must fight for change,19.35,1.2
CAUCUSES WANT HAITIANS IN IMMIGRATION RELIEF DEAL,17.35,4.2
"More Children Are Employed, Often Perilously",17.35,9.2
THE NATION; 'Processing' for Haitians Is Time in a Rural Prison,,10.2
HAITIANS FACE DEADLINE FOR PROTECTED STATUS,17.35,5.2
Fed sues to block Arizona immigration law: The state reacts,,5.2
18 ILLEGAL IMMIGRANTS DIE AFTER BEING LEFT IN TRAILER,17.35,9.2
"Trapped in Heat In Texas Truck, 18 People Die",17.35,9.2
EDITORIAL Fox on a mission,17.4,4.2
BUSH AIDES WEIGH LEGALIZING STATUS OF MEXICANS IN U.S.,18.3,6.2
"DUTY, HONOR, BUT WHERE'S THE COUNTRY?",19.4,3.2
INS shouldn't ignore law to boost census numbers,19.35,7.2
NEW IMMIGRANTS SURE MEAN BUSINESS More and more middle-class newcomers to city prospering as they start own commercial venteures,17.35,1.2
High court weighs ban on deporting Somali immigrants,18.3,5.2
British Court Affirms Order to Deport Cleric to Jordan,,
Demand for English Lessons Outstrips Supply,17.35,2.2
CHINESE GANG IS TERRORIZING WOMEN & KIDS,19.35,7.2
"WILSON ANNOUCES ANEW, SAYS CLINTON 'FEARS' HIM / HE APPEARED ON NATIONAL TELEVISION. HIS TASK IS TO CARVE OUT A SPOT AMONG THE GOP HOPEFULS.",18.3,13.2
Let's Get A Border Deal Done,19.4,13.2
Immigration overreaction,19.35,13.2
PUSH BAHAMAS TO HELP WITH HAITIANS,19.35,14.2
Elian: A Way Out,17.35,5.2
Germans Seek Foreign Labor For New Era Of Computers,,
IMPORTING BRAIN POWER,17.4,2.2
INTERNATIONAL ATLANTA; A weekly column from and about the ethnic communities of Atlanta; Waging war on cheap labor,17.35,6.2
500 new citizens take the oath in mass ceremony,17.35,5.2
IMMIGRANTS SEE HOUSE AS BIGGEST PRIORITY A FANNIE MAE SURVEY SAYS THEY'RE THE MOST LIKELY TO BUY. IT ALSO FOUND THEM OPTIMISTIC ABOUT THE ECONOMY.,17.35,1.2
INS MOVES TO ENFORCE LAW BARRING HOMOSEXUALS FROM U.S.,18.3,5.2
Ross Douthat: Trust but e-verify,,5.2
A 'Hire American' boost ; Companies that fill jobs from overseas should have to pay more.,19.4,1.2
Letters to the editor,17.4,6.2
Strategy Sessions Fueled Immigrant Marches,17.4,12.2
New citizenship test to be tested by new immigrants,17.35,6.2
Consuls going to bat for Mexican workers Diplomats push for local changes to improve lives,17.35,14.2
'60s-style ride to stop in Durham; National bus event to focus on immigrant workers' plight,17.35,10.2
"Old Deportation Orders Leading To Many Injustices, Critics Say",18.3,7.2
CHINESE WOMEN FACE DEPORTATION REVERSAL: CLINTON OFFICIALS REJECT HARSH BIRTH-CONTROL POLICY AS GROUNDS FOR ASYLUM.,17.35,5.2
Offering amnesty to illegal aliens is troubling,19.4,5.2
"REFUGEE GROUPS SAY PA. FAILS TO HELP NON-ENGLISH SPEAKERS IN A FEDERAL CIVIL-RIGHTS COMPLAINT, A COALITION SAYS MORE SERVICES AND TRANSLATORS ARE NEEDED FOR IMMIGRANTS.",17.35,5.2
New Challenges In Fighting AIDS,18.3,9.2
Medicaid Rule For Immigrants May Bar Others,,6.2
SOUTH AFRICA WARNS IT MAY EXPEL ALIENS IF U.S. INVESTORS PULL OUT,,
H-1B VISAS APPROACHING BRIM OF CAP,,5.2
Illegal immigration count: 11 million and rising in U.S.,18.3,11.2
Chicago Woman's Stand Stirs Immigration Debate,18.3,7.2
7 at plant accused of hiring illegals,19.35,7.2
Carter to participate in naturalization ceremony,17.35,10.2
G.O.P. Agrees To College Aid For Immigrants,17.35,13.2
Illegal Immigration at the Forefront; New Va. Governor May Decide Policy,19.35,13.2
IMMIGRANT CUSTOMS OFTEN COLLIDE WITH CHILD PROTECTION LAWS,18.3,11.2
A new visa guaranteed to stop hijackers,19.4,8.2
Pay ruling adds to immigrants' fears,19.35,5.2
U.S. Seeks Thousands Of Fugitive Deportees; Middle Eastern Men Are Focus of Search,19.35,7.2
NO CORPORATE CONSPIRACY TO SMUGGLE ILLEGAL ALIENS,19.35,7.2
New PBS offering is a sitcom that teaches basic English,17.35,10.2
IT'S A WAY TO PROTECT BENEFITS THAT LEGAL IMMIGRANTS HAVE EARNED AS WELL AS STRENGTHEN OUR COMMUNITY CITIZEN PATH,17.4,10.2
MEXICANS HUNT LOST KIN,17.35,10.2
New Border Patrol Chief,,
Urban Immigration,19.4,10.2
MEXICO: WORLD'S BACK DOOR TO U.S.,19.35,7.2
"EDITORIAL Immigration has a long row to hoe With the Senate's failure to act, the U.S. still lacks a workable guest-worker program and has very real problems in the fields.",17.35,2.2
"INS HAS TUNNEL VISION, BLIND TO ECONOMIC REALITIES",,6.2
Obama's illegal move on immigration,19.4,7.2
Securing the border is a fundamental test of a nation,19.4,13.2
The Worker Next Door,,1.2
Big rise in arrests of immigrants,19.35,7.2
Los Angeles to Cease Transferring Immigrants,17.35,5.2
Deporting a parent,17.4,7.2
Class Notes: 'Celebrities' teach Dyer students about immigrants,,
Los Angeles Police Expect Calm at Immigration Rally,,12.2
CAUGHT BETWEEN CULTURES; AUTHOR CAPTURES THE ANGST OF IMMIGRANTS' KIDS,17.35,11.2
METRO NEWS BRIEFS: NEW JERSEY; Guard Given 4 Years In Immigrant Beating,17.35,7.2
Registration Amnesty for Pakistanis Sought; Foreign Minister Says U.S. Program Has Fueled Major Political Crisis Back Home,19.35,14.2
FBI HURT TERROR PROBE: CUSTOMS CHIEF,,
"$50,000 per entry",19.4,2.2
It's not east Being Green Club's immigration stand has the ring of the far right,18.3,13.2
"Dangerous crossing; PURSUING DREAMS AND POSSIBLE AMNESTY, MEXICAN MIGRANTS RISK DEATH IN THE DESERT",17.35,10.2
"CHILDREN OF LATINO IMMIGRANTS CHOOSING TO HAVE SMALLER FAMILIES IN THE SOTO CLAN, SECOND GENERATION SLOWS BABY BOOM",,11.2
CITY SHORTS NEWCOMERS ON ENGLISH,17.35,4.2
DEBATE TO BEGIN ON DEPORTATION SYSTEM PROGRAM WOULD TARGET JAILED ILLEGAL IMMIGRANTS,19.35,7.2
Levy's Record On Minority Issues,,
Cut back on immigration and step up screening,19.4,11.2
U.S. citizenship's tangled web,19.4,4.2
Finding home in America; Immigrant works to turn her subdivision into community,17.35,11.2
"FALSE IDENTITY (CARDS); EX-BOYNTON PASTOR, LAKE WORTH MAN CHARGED WITH MAKING, SELLING FAKE 'GREENCARDS'",19.35,7.2
U.S. Pressing European Union to Be More Friendly to Turkey,,
Illegal Immigrants Feeding Wildfire Epidemic in California,19.35,9.2
Venezuela shifts control of border,,
The News in Brief,17.35,5.2
Assessing America's Place in the Global Network,,
NO SANCTUARY FROM ICE GRIP FOR INNOCENT,18.3,7.2
"CUBAN REFUGEES SPLIT RAFT UP, LOST COMPANIONS TO SEA",17.35,9.2
SUPREME COURT SAYS FARMWORKERS MAY CHALLENGE INS,17.35,5.2
SILENT MARCH MARKS ANN'Y OF ANTI-IMMIG LAW,17.4,12.2
Table tennis players share love for sport Influx of foreigners gives club a boost,17.35,11.2
FILM REVIEW; Charming Illegal Aliens Facing Family Upheaval,17.35,10.2
THE MIDTOWN SINKHOLE Many refugees find jobs at Marriott Hotel chain helps victims' families with funeral costs,17.35,1.2
"Greeted at Nation's Front Door, Many Visitors Stay On Illegally",19.35,7.2
"ONE CLASSROOM, MANY NATIONS; AS THE CHILDREN OF IMMIGRANTS AND REFUGEES FROM ALL OVER THE WORLD ENTER SCHOOLS HERE IN RISING NUMBERS, THE COST OF HELPING THEM LEARN ENGLISH IS INCREASING BY ABOUT $1 MILLION A YEAR IN MINNEAPOLIS AND IN ST. PAUL SCHOOLS.IN ST. PAUL, NEARLY ONE STUDENT IN FOUR IS ENROLLED IN A LIMITED ENGLISH PROFICIENCY PROGRAM. THAT'S A TOTAL OF 9,465 STUDENTS, AND THE DISTRICT SAYS SEVERAL THOUSAND MORE COULD USE HELP.",,2.2
"Perspectives shaped by daily experience; A border sheriff, an urban priest, a factory owner and others close to issue weigh in on immigration",19.35,7.2
OFFICIALS SAY THEY'RE SQUEEZED BY INITIATIVES COUNTIES ON BORDER HIT HARD,,8.2
OVERRUNNING AMERICA,19.4,1.2
Aurora battles language barrier for immigrants,17.35,11.2
Church Worker Wins Retrial in Alien Case,17.35,5.2
LOW NUMBER GIVEN FOR ILLEGAL ALIENS,17.35,11.2
"ALL IT TAKES IS AN OFFICE, A PC AND INSURANCE",17.35,1.2
WORLD,,
MILLIONS OF GREEN CARD APPLICATIONS FLOOD POST OFFICE,17.35,2.2
Don't fear immigration,17.4,2.2
OBAMA CALLS DEPORTING WRONG IMMIGRANT TACK,,13.2
Seminar focuses on human trafficking in Tar Heel state,,
CLINTON SEEKS FRUITS OF COMMON MARKET,,1.2
Real answers buried by talking points,19.35,13.2
National Briefing Southwest: Texas: Immigration Agents Indicted,,
"Bush Pledges Action on Borders; Southwest Is Promised Agents, Jail Space for Illegal Immigrants",19.35,8.2
A fairy tale ending to INS horror story,17.35,5.2
N.Va. Woman Aids Rescue Of Immigrants; Reporting Ransom Led To Stash House in Texas,,7.2
Ruben Navarrette: GOP dug its own hole with Latinos,19.35,13.2
"Brazen daylight smuggling pours illegals into U.S.; For as little as $100, Mexicans join groups heading right past Border Patrol agents",19.35,7.2
Huddled masses; Fifth-graders get a taste of Ellis Island experience,17.35,11.2
"Immigrant Groups Split on Boycott; Walkouts May Do More Harm Than Good, Some Say",17.35,12.2
Al-Arian wants charges dropped,19.35,7.2
Plan to add visas for high-tech and skilled workers dropped,17.35,2.2
BILLBOARD 'PATRIOT' MIGHT AS WELL WEAR A SHEET;,19.35,12.2
"6 CONVICTED, 5 CLEARED OF PLOT TO SMUGGLE IN ALIENS FOR SANCTUARY",19.35,5.2
JUDGE HALTS IMMIG PROBE SEZ WORKERS' STATUS IRRELEVANT,17.35,5.2
Rape suspect's fingerprints notin ICE database,19.35,7.2
Fingerprints' lasting marks,17.35,7.2
Two California Judges Block Anti-Immigrant Measure at the Start,,5.2
EDITORIAL Fanning flames on immigration A legislator's push to force communities to join a federal crime program will only increase anti-illegal immigrant rhetoric.,19.4,5.2
"Bush scores with migrant plan; President, Fox meet at summit today",17.35,13.2
A RECORD DAY ON PHONE LINES,17.35,2.2
WATSONVILLE MAN SUING IMMIGRATION CONSULTANT RETURNS TO MEXICO,17.35,5.2
Visa process bans wedding guest,17.4,5.2
THE STATE OF IMMIGRATION,17.35,11.2
"I WAS HOUSE SLAVE, ZAMBIAN CHARGES",,
Islamic leader seems stuck in Michigan jail,19.35,8.2
Beacon of Light Awards presented,17.35,10.2
Four Russian Emigres Plan to Return Home,17.35,10.2
American dream via a taxi cab,17.35,11.2
"Who should stay? Who should go?; The best immigration reform would be one that divides and conquers the pool of illegals. The line would be drawn at those who play by the rules, assimilate and pay a fine and back taxes. To the others: Leave.",19.4,6.2
RANCHERS IN ARIZONA RESENT CITIZEN GROUP'S BORDER PATROL,17.35,11.2
EXTRA INSPECTORS WILL BE ADDED AT IMMIGRATION,17.35,2.2
"DEMONSTRATORS MASS DURING ZEDILLO VISIT PROTESTS ON PROP. 187, HUMAN RIGHTS ABUSES",17.35,12.2
"Florida wise not to follow ; Immigration crackdown bad business, bad law.",17.35,5.2
Oakland Tribune editorial: High Court made correct decision on Arizona's law,18.3,5.2
"Immigration issue is suddenly a hot topic in presidential race Latino vote may be key in close contest between Obama, Romney.",18.3,13.2
FREMONT WOMAN CHARGED IN IMMIGRATION FRAUD SCHEME,19.35,7.2
U.S. REVOKES HAITIAN VISAS,19.35,5.2
S.J. marchers back immigrant rights; SEPARATE GROUPS MERGE ON COMMON GROUND OF DIGNITY,17.4,12.2
Officer: King came close to being shot,,
Rural Hispanic lawmaker a first for state; Republican wants to see immigration laws strictly enforced.,19.35,13.2
"Hispanics make their voices heard; Thousands stay home. Work, stores, schools bitten by protest against bill cracking down on illegal immigrants.",17.4,12.2
JOHNSTON NOT HELPING ON IMMIGRATION,19.4,13.2
"NATION'S SECURITY NEEDS, VALUES DEMAND IMMIGRATION REFORM",17.4,5.2
"TECH VISA LOOPHOLE CLOSED BY CONGRESS; PROGRAM ABUSED, CRITICS SAY",19.35,1.2
Prosecutors Foiled Deportation Of Man Now Held in L.I. Killing,19.35,7.2
Letters to the editor,19.4,5.2
Lawmakers urge fair review in INS fraud cases,,5.2
TRAVEL ADVISORY; Chicago and Mexico Again Linked by Air,,
"Immigrant Smugglers, Too, Can Need a Lawyer's Help",19.35,7.2
New policy raises deportation difficulty; INS required to show person got a notice,18.3,5.2
New driver's license rules kick in early,19.35,6.2
MOFFETT WRONG - HIGH IMMIGRATION UNTENABLE,19.4,2.2
INTERDICTION POLICY DEFENDED,18.3,6.2
"For 9; 11 panel, one last focus; The commission, winding up its inquiry, is turning to Congress' actions in the years before the attack.",19.35,8.2
"TWO MEN WHO FASHIONED IMMIGRATION BILL AND LED IT THROUGH CONGRESS; ROMANO MAZZOLI DEVOTED FOUR YEARS OF QUIET, RELETNLESS WORK TO MEASURE",,13.2
U.S. DIGEST,,9.2
Two charged in deaths of illegal immigrants in truck,19.35,9.2
U.S. Is Planning Faster Border Crossings for a Fee,,6.2
SOCIAL SECURITY OFFERS AMNESTY TO IMMIGRANTS,18.3,7.2
JEWISH GROUPS RAP IMMIGRANT TREATMENT,,
Arrivals represent new political force,,
ANGUISH RESIDES IN NEW IMMIG LAWS,17.35,10.2
,,
,,
,,
,,
STEVE COMES COLON. Visits pols who get yuks & inside story,17.4,11.1
Growing backlog costly for taxpayers; Shortage of judges can make immigrants wait years for day in court.,19.35,2.2
"ON IMMIGRATION, BIRTHRIGHT FIGHT IN U.S. IS LOOMING",17.35,5.2
Children Without a Country,17.4,5.2
VISA PLAN THREATENS CITY'S TOURIST TRADE; INS proposal to shorten visits to U.S. could hurt local coffers,17.35,1.2
TRACES OF TERROR: THE DETAINEES; U.S. Deports Most of Those Arrested in Sweeps After 9/11,,5.2
Costs of Illegal Immigration,,1.2
Combating Methamphetamine by the Book; Tome Targets Anti-Drug Message to Mexican Immigrant Laborers in California,17.35,11.2
Immigrant Experience:Be wary of Internet help for citizenship application,17.35,10.2
"Democrats scurry for support on health bill; $1.2 trillion bill raises questions on insuring abortions, illegals.",18.3,13.2
"In Manassas Park, Sanity; Taking a stand against illegal-immigrant bashing",17.35,4.2
"1,250 janitors fired over immigration",19.35,5.2
Blunt sets state on trail of illegal immigrants THE PLAN o Random inspections at some construction sites. o Governor wants state agents deputized to enforce federal law.,19.35,7.2
Congress Plans Stiff New Curb On Immigration,,2.2
Judge Says U.S. Broke Law in Seeking Deportation,17.35,5.2
ILLEGAL IMMIGRATION 'BUSINESS AS USUAL' MORE NATIONALITIES CROSS BORDERS EACH; DAY,19.35,8.2
Making Immigration Tougher,19.35,6.2
THIS ILLEGAL SHOULD BE LEGAL,17.4,6.2
,17.35,12.2
Perry and Hispanics Coexist Uneasily in Politics,18.3,13.2
``Immigration'' isn't the problem,,12.2
"Immigration law, 'Black Codes' not comparable",17.35,4.2
Politics & The Nation,,
ICE jail protesters see hope Organizers of the monthly vigils where illegal immigrants are held want changes.,17.4,12.2
NBA's Suns protest immigration law,,12.2
Santa Cruz police to partner with immigration officials to fight gang violence,19.35,7.2
Iranian Cyclist for Peace Begins Cross-Country Journey on Foot,,
White House backs off migrant amnesty idea,17.35,6.2
"Homeland Security, Washington-Style",,7.2
N.C.'s '90s immigrant tally tops in U.S.; 278% increase was more than 3 times national average,17.35,11.2
"NEW ECONOMY, SO NEW OUTLOOK ON IMMIGRATION",17.35,2.2
"HISPANIC RISE IN AREA TOPS NATION, STATE",18.3,11.2
"Condemned Again for Old Crimes; Deportation Law Descends Sternly, and Often by Surprise",17.35,7.2
On the side - Because you asked,18.3,7.2
Group watching border in California; 30 VOLUNTEERS MET BY PROTESTS,,12.2
"City book club reading ""Enrique's Journey""",17.35,11.2
Immigrants deserve to be treated with basic human dignity,17.4,4.2
Are Children of Illegal Immigrants Entitled to a Public Education?,17.4,10.2
Pair charged with selling fake papers,,7.2
Officials Brace for Exodus Of Foreigners from Panama,,7.2
Governor backs guest-worker plan,18.3,13.2
MAN'S BUSINESS WOULD'VE KEPT IMMIGRANTS HOME,19.35,1.2
Cobb Opinions: TELL US: Share thoughts on border watch groups forming here,19.35,8.2
"I.N.S. Workers File Lawsuit, Charging Bias",17.35,5.2
IMMIGRATION Political evangelicals feel push to take sides,18.3,13.2
TAKING A DEEPER LOOK IMMIGRATION A NET GAIN FOR ECONOMY,17.35,1.2
"EVERY WEEKEND ACROSS METRO ATLANTA, AFRICAN IMMIGRANTS GATHER AROUND THEIR RADIOS IN SCENES THAT RECALL; AN EARLIER TIME IN AMERICA. THEY'RE LISTENING TO . . .; News from home",17.35,11.2
From Page One; Local labor brings in the harvest,17.35,1.2
New law could help ease noncitizen immigration; Some Triangle legislators back the House-passed bill as a way to keep needed workers in state,17.35,6.2
Ybor's Cubans split on trip,18.3,11.2
5 HUNTED MEN LINKED TO FAKE PASSPORT RING,19.35,8.2
Representatives Ask I.N.S. to Add Workers to New York Office,18.3,2.2
Herndon Postpones Day-Labor Decision; Deluge of Speakers Prompts Delay,,12.2
"Northside Opinions: ILLEGAL IMMIGRATION: Citizens have had enough; Feds have failed miserably, so Georgia must act to address problem",19.4,12.2
TELEVISION REVIEW; Entering the U.S. Illegally And Provoking Anger,19.35,1.2
Sterling Areas Targeted for Stiffer Zoning Enforcement,19.35,6.2
MOTHER WHO'S ILLEGAL ALIEN DESERVES NO COMPASSION,19.4,5.2
"Miami Businessman, Cuba-Born, A Contender for Immigration Job",17.35,11.2
POLL FINDS SUPPORT FOR LEGALIZING IMMIGRANTS,17.4,12.2
INS chief opposes breakup plan; Some in Congress want law enforcement and benefit distribution to be done separately.,18.3,6.2
American Pioneers -- or 'Illegals'?,17.35,11.2
Thousands Attend Immigration Rallies,17.35,12.2
