Title,Tone Code Mode
"3 other states weighing tough immigration bills; Despite lawsuit, Okla., S.C. and Utah may follow Arizona's lead",19
"30,000 voices, one message at Capitol; St. Paul march for immigration reform is the largest gathering at the Statehouse since a Sept. 11 memorial",17
300 queue up to get visas at Charlotte office,17
"300,000 immigrants sent home In 2 years since tough law approved, number returned more than doubled",19
31 HAITIANS DETAINED AFTER WADING ASHORE,19
"32 percent of Latino students try suicide; That's twice the rate as white, black classmates",17
34 Cuban immigrants come ashore in Ocean Ridge,19
375 gang members arrested in operation,19
"3rd Suspect, 15, Held in Newark Killings as Hunt Continues",19
4 ARE CONVICTED OF ENSLAVING MIGRANT WORKERS IN THE SOUTH,17
4 Haitians With HIV Admitted to U.S.; Entry of Refugees for Medical Care Said to Be No Change in Policy,18
4-Year-Old Girl Is Returned From Guatemala to Parents,17
"40,000 BARRED FROM THE U.S.",19
455 HAITIANS PACKED ON 3 BOATS RESCUED 70 MILES OFF MIAMI,17
470-plus students' residency unclear; Regents issue report on fall enrollment.; State board working to ensure correct tuition rates are charged.,17
"5 Charged in Work Visa Fraud; Men Secured False Papers for Immigrants, Indictment Alleges",19
5 HUNTED MEN LINKED TO FAKE PASSPORT RING,19
5 citizens sue over tactics used in immigration raid,17
"5,000 expected at immigration walk",17
50 IN PEACE GROUP TO GET VISAS FOR SESSION AT U.N.,17
500 new citizens take the oath in mass ceremony,17
53 REFUGEES MAY BE FREED / THEY'VE BEEN HELD SINCE FLEEING CHINA ABOARD THE GOLDEN VENTURE IN 1993.,17
535 PASS FIRST HURDLE ON FIRST DAY OF THE AMNESTY PROGRAM,17
56 arrested in connection with child sex crime case,19
"6 CONVICTED, 5 CLEARED OF PLOT TO SMUGGLE IN ALIENS FOR SANCTUARY",19
6 Chinese nationals indicted in Savannah smuggling scheme,19
6 Guards in New Jersey Charged With Beating Jailed Immigrants,17
6 TIME PERIODS DEFINE SWEDISH IMMIGRATION; MINNESOTA WAS POISED TO GET LARGEST NUMBER,18
"6 TYSON FOODS OFFICIALS FACE FEDERAL CHARGES OF SMUGGLING IMMIGRANTS; SCHEME INCLUDED TWO MISSOURI PLANTS, AUTHORITIES SAY",19
6 illegal immigrants found in cargo truck; Men discovered in routine search not in secure area near airport.,19
6 quit Perdue's Latino board; No input on law on illegals cited,17
62 New Guards Will Reinforce Arizona Border,19
69 Immigrant Workers Held in Baltimore Area Raids,17
69% SAY GUEST WORKER PLAN OK,18
690 STOPPED IN ILLEGAL CROSSINGS,19
6TH CONGRESSIONAL DISTRICT Ex-GOP backer tests Tancredo's 6-year hold on seat The three-term incumbent has seen support slide within his own party over his immigration reform campaign. Joanna Conti says her values reflect the district better.,18
7 Bodies of Asian Immigrants Unidentified After 3 Weeks,17
7 Days of Desperation Along Mexican Border; Migrants' Dreams Die in Brutal Crossing,17
7 I.N.S. Employees and 26 Others Are Charged With Selling False Immigration Papers,19
7 JORDANIANS HELD AT CANADIAN BORDER ARE CLEARED OF TERRORISM,17
7 Thais Enter Guilty Pleas For Detention In Sweatshop,17
7 at plant accused of hiring illegals,19
"7,000 Middle Eastern men register with INS as ordered",19
"7,898 From 39 Nations Held in Anti-Smuggling Raids",19
7.5 MILLION APPLY TO U.S. FOR PERMANENT RESIDENCY,18
75 immigrants naturalized in ceremony on USS Hornet; RITES FULL OF SYMBOLISM IN ALAMEDA GIVE SPECIAL MEANING TO INDEPENDENCE HOLIDAY,17
757 Haitians may have political asylum eligibility,17
"77 Aliens, in Debt to Smugglers, Found in Captivity in California",19
79 PASSENGERS HELD AS ALIENS,19
"800,000 spared deportation ; Obama says those with no record can stay -- for now.",17
9 Die as Haitian Immigrants' Boat Sinks,17
"9 arrested in raids targeting ecstasy, pot",18
92 Captive Aliens Are Rescued in a Raid,17
94 REFUGEES SAIL FROM HAITI TO FLORIDA KEYS,18
96 Chinese Held as Illegal Aliens,19
A 'DREAM' TURNS DEADLY   Jimmy Breslin details an immigrant's tragedy,17
A 'Hire American' boost ; Companies that fill jobs from overseas should have to pay more.,19
A 4th Body Is Discovered in the Waters Off Queens,17
A BOOST FOR NEWS' SPECIAL IMMIG HOTLINE,17
A BOOST FOR SECURITY,18
A Better Senate Bill on Immigration,18
A Bill That Earned Its Doubters,18
A Border-Tightening Congressman Has Immigrants in His Own Backyard,17
A Brave New World of Work,17
A Bridge Across the Rio Grande,19
A Build-a-Protest Approach to Immigration,19
A Bush Rule Bolstering Deportations Is Withdrawn,18
A Citizenship Incubator for Immigrant Latinos,18
A City of Immigrants Is Pictured in Report,17
A Closer Look at Some of the More Hotly Disputed Assertions,18
A DEFENDER FOR IMMIGRANT CHILDREN,17
A DIFFERENT FAMILY RITUAL: HOT POT; COMING TOGETHER AROUND A CONTAINER OF BOILING BROTH,17
A FATHER SAYS GOODBYE,17
A Failure of Discretion,19
A Fair Policy On Immigration,19
A Fearful Dilemma for Alien Families,17
A Federal Jury Indicts 2 In Immigration Scheme,19
"A Flood of Applications, With a Trickle of Approvals",17
A GREEN START TO A NEW LIFE IMMIGRANTS FROM AROUND THE WORLD WORK ON CONSERVATION CORPS PROJECTS IN SAN JOSE.,17
A Good Decision,17
A Grand Pact Goes Wrong,18
A Guilty Plea's Fallout; Va. Woman's Theft May Lead to Deportation,19
A HEARTY WELCOME 18 COUPLES GET ULTIMATE VALENTINE'S DAY GIFT - AMERICAN CITIZENSHIP,17
A HELPING HAND FOR THE HAITIANS; Passaic resident is filling the role of honorary consul,17
A Haven for Abused Women,17
A JOURNAL-CONSTITUTION SPECIAL REPORT; CHICKEN: HOW SAFE?; SECOND OF TWO PARTS; CHICKEN: AT WHAT COST?,17
A Jamaican Way Station in the Bronx; Community of Striving Immigrants Fosters Middle-Class Values,17
A LOST DREAM REBORN,17
A Labor Shortage?,17
A Legacy in Immigration,18
"A Long Wait On the Doorstep; At Immigration Offices, Amid Lines and Lost Time, An Old Hope Survives",17
A Long Walk For a Cause,17
"A MOTHER'S DILEMMA; AS THE TWIN CITIES BECOME HOME TO MORE IMMIGRANT WOMEN, SOME OF THEIR MOST PERSONAL SORROWS - SUCH AS FEMALE CIRCUMCISION - ARE BECOMING MORE PUBLIC.",17
A Multi-Ethnic Kosovo Doesn't Make Sense; Billboards of Hate,17
A NATION AT WAR: IMMIGRANT MARINES; Latinos Gave Their Lives To New Land,17
A NATION CHALLENGED: CHARITY; Second Loss Compounds Widow's Grief,17
A NATION CHALLENGED: IMMIGRATION; BUSH SETS OPTION OF MILITARY TRIALS IN TERRORIST CASES,19
A NATION CHALLENGED: IMMIGRATION; Congress Set to Break Up Beleaguered Agency,19
A NATION CHALLENGED: NATIONAL MEASURES; Entire Nation On High Alert As Security Is Stepped Up,19
A NATION CHALLENGED: STUDENT VISAS; EFFORTS TO TRACK FOREIGN STUDENTS ARE SAID TO LAG,19
A NATION CHALLENGED: THE BORDERS; Official Urges Combining Several Agencies to Create One That Protects Borders,19
A NATION CHALLENGED: THE DETAINED; Immigrants Refuse Meals to Protest Treatment,17
A NATION CHALLENGED: THE HOLY LAND FOUNDATION; Paterson Again Finds Itself With Links to Sept. 11,19
A NATION CHALLENGED: THE IMMIGRANTS; Testing The System Of Relief,17
A NATION CHALLENGED: THE IMMIGRATION AGENCY; 4 Top Officials On Immigration Are Replaced,19
A NATION CHALLENGED; Marshals Transfer Detainee to Chicago,19
A NATION CHALLENGED; The New Regulation,18
A NATION OF IMMIGRANTS DEBATES IMMIGRATION CITIZENS' FEARS ABOUT THE EFFECT ON ECONOMICS AND CULTURE ARE PROMPTING PROPOSALS TO REVISE LIBERAL POLICIES.,17
A NATIONAL IDENTITY CARD COULD LEAD TO OTHER GOVERNMENT CONTROLS,19
A National Registry for Work,19
A Nominee Toasts His Good Fortune,17
A PLEDGE AND A PROMISE,17
A PREMATURE RUSH TO JUDGMENT,17
A RATIONAL IMMIGRATION POLICY ISN'T RACISM,19
A REAL EARFUL; WHAT CONSTITUENTS ARE TELLING THEIR LEGISLATORS:,17
A RECORD DAY ON PHONE LINES,17
"A Recipe for Weakness; By limiting visas for skilled foreign professionals, the United States only harms itself.",17
A Resource for the 'Other Westchester',17
A Rush for Work Visas Even as Demand Dips,18
A SACRIFICE FOR FREEDOM,17
A SENSELESS DEPORTATION,17
A STATE OF LIMBO RULES THE LIVES OF POLISH ALIENS,17
A STEEL VALLEY'S DEATH: MEMORIES AND DESPAIR,17
"A Set of Borders to Cross; For Children Seeking Immigrant Relatives in U.S., Journey Is Twofold",17
A Shameful Ban; The United States should end a prohibition against HIV-positive visitors and immigrants.,17
A Slow Start for INS,19
A Special Visa Program Benefits Abused Illegal Immigrants,17
A Spur to Immigrants,17
A Storm Over Arizona and Immigrants,17
"A Strong, but Divisive, Voice for Immigrants; Boycott of Pr. William Will Test Leader",17
A Suspected Agent for bin Laden Pleads Guilty to Illegally Entering the U.S.,19
"A TALE OF ANGUISH: HOW ONE LATINA MISSED NETWORK / FEELING ABANDONED, MIGUELINA ESTEVEZ, 19, KILLED HER 3 SONS AND HERSELF. OTHERS LIKE HER HAVE FOUND HELP.",17
A TOUCH OF VIETNAM: THE MAKING OF A VIBRANT COMMUNITY Grant Park Apartments are gateway to new world Community center started by a refugee eases immigrants into the mainstream,17
A Tale of Two Conquests; An epic history compares the British and Spanish colonies in the New World.,17
A Tale of Two Elections,18
"A Test Of Faith; In the Orthodox Church, New and Old Ways Clash",17
"A Thriving Mosque, Built on a Dream",17
A WORKING START Program boosts immigrants into workforce quickly,17
A YEAR LATER: ATLANTA REMEMBERS: IMMIGRANTS: New citizens show their U.S. spirit,17
A bad birthright idea,17
A better way to address immigration problems,19
A clear case for compassion,17
A clear decision on immigration,18
A corporate 'feeding frenzy'; Visas push is about helping companies rather than workers,19
A disregard for personal freedom,17
"A dream deferred With tighter border, more Mexicans stay home",18
A fairy tale ending to INS horror story,17
A good place to start,18
A harsh reality of immigration,17
"A kinder, gentler immigration system?",17
A letter to Jesica,17
A long legal road Immigration o Federal injunction against Arizona law should prompt Missourians to review their own efforts. OTHER VIEWS,17
A lost decade for immigration reform,18
A lotta Latino loving Immig stance aids Bam,17
A migrant society,17
"A migrant surge from Mexico; Spurred by a proposed U.S. work-visa program, illegal border crossings are up sharply.",18
A new visa guaranteed to stop hijackers,19
A phony tool to stop illegal immigration,18
A potential tidal wave come election time,17
A protest festively flavored,17
A quick foreign trip by boat? Let Uncle Sam know,19
"A reasonable, permanent immigration policy needed",17
"A reluctant enforcer City cites fiscal, social costs of policing immigrants",19
A self-defeating immigrant policy,19
A simple tool to help stem the tide,17
A suicidal stand on Hispanics,18
A teen's citizenship dream,17
ABOUT LONG ISLAND,17
ABROAD AT HOME; Yearning to Breathe Free,17
ABSURD IMMIGRATION POLICIES NEED FIXING,19
ACADEMY'S REPORT SAYS IMMIGRATION BENEFITS THE U.S.,17
ACT OF DESPERATION; CHUE TOU VANG'S SONS SAY THE THREATENED CUTOFF OF THEIR FATHER'S FEDERAL AID LEFT HIM IN DESPAIR SO DEEP THAT THE ELDERLY LAOTIAN IMMIGRANT KILLED HIMSELF.,17
AD CAMPAIGN ALLEGES NON-CITIZEN VOTING FALLOUT: RADIO SPOTS INVITE LISTENERS TO PROVIDE EVIDENCE.,19
AD WATCH; Evaluating the Political Message,19
ADMINISTRATION BALKS AT COST OF AMNESTY FOR ILLEGAL ALIENS,19
ADS CRITICIZE TUITION BREAK FOR STATE'S ILLEGAL IMMIGRANTS PROPOSAL WOULD ALLOW SOME TO PAY IN-STATE RATE,19
ADVISER IN MEXICAN GOVERNMENT ASSAILS REAGAN IMMIGRATION PLAN,17
ADVOCATES DRAFTING PLAN FOR IMMIGRATION SOLUTIONS,17
ADVOCATES KNOCK HIL'S IMMIG PLAN,18
AFGHANS CONTEST DETENTION IN U.S.,18
AFL-CIO: GIVE ILLEGALS A BREAK IT BACKS AMNESTY AND NO SANCTIONS,17
AFRICAN COUPLE GET BIG PRESENT,17
AFRICAN GAINS ASYLUM AFTER 2-YEAR STRUGGLE,17
AFTER THE RIOTS; Riots Put Focus on Hispanic Growth and Problems in South-Central Area,17
"AFTER TWO MARIELS,; NO MAS",17
"AGENCY STEPS UP INQUIRIES ON FOREIGN STUDENTS; MIZZOU HAS BEEN ASKED FOR DATA ON 1,300 AT ITS CAMPUS",19
"AHEAD OF FOX VISIT, BUSH WARNS: AMNESTY PUSH APPEARS STALLED",17
AID PUSH BY THREE IN COUNCIL Want help for immigrants,17
AIDES SAY THAT SEA PATROL HAS SLOWED HAITIAN ENTRIES,19
AIDING KIN IN ASIA; HELP HMONG LEARN TO WORK THE SYSTEM,17
AIDS DEMONSTRATION  ACTIVISTS PROTEST IMMIGRATION POLICY,17
AIDS and Immigration,17
AIDS panel gives immigrants a voice,17
AIR TRAGEDY CAN'T OPEN U.S. BORDERS,17
AIRPORTS FACE IDENTITY CRISIS,17
ALIEN DETENTION CENTER HELD INADEQUATE,19
ALIEN FORCES IN JUPITER,17
"ALIEN RAIDS OPENED UP JOBS, AIDE SAYS",19
"ALIENATED BY FEDS EMIGRES RALLY, RIP AID CURBS",17
"ALIENS BILL ALIENATES RUDY, WHO SEES 140M HIT",19
ALIENS BILL NEARS REALITY,18
ALIENS FACING $185 FEE ON AMNESTY,18
ALIENS' PHONY DEADLINE INS RULES EVEN CONFUSE ITSELF,18
"ALL ABOARD THE CITIZEN SHIP; THE RUSH FOR NATURALIZATION, DRIVEN PARTLY BY NEW WELFARE RULES, IS KEEPING INS OFFICES IN THE TWIN CITIES BUSY. BUT MANY OLDER, NON-ENGLISH-SPEAKING RESIDENTS MAY BE LEFT BEHIND.",17
ALL CLINTON APPLICANTS FACE `ZOE BAIRD' TEST,19
"ALL IT TAKES IS AN OFFICE, A PC AND INSURANCE",17
AMERICA'S GOLDEN DOOR STILL CLOSED FOR HAITIANS,17
AMERICA: a land of diversity,17
AMERICAN DREAM UNITES MARCHERS,17
AMERICAN IMMIGRANTS WHO COME AND GO,18
"AMERICANS WANT A CHANGE - CUT, REFORM LEGAL IMMIGRATION",19
AMNESTY FOR ILLEGALS NO GOOD FOR U.S.,19
AMNESTY PLAN; Try the third way,17
AN ARMY OF PROTESTERS,17
AN ILLEGAL ALIEN WORKED 5 YEARS FOR HUFFINGTONS,19
AN IMMIGRANTS' ARCHBISHOP,17
AN INS FINGERPRINT RULE CAN NO LONGER RULE OUT CITIZENSHIP / SOME PEOPLE HAVE FINGERPRINTS TOO FINE TO BE READ. THAT HAS CAUSED PLENTY OF TROUBLE WITH THE INS.,18
"AN INVISIBLE POPULATION; IMMIGRANTS ARE CARVING OUT THEIR NEW LIVES IN A HEARTLAND CITY WHERE THEY BLEND IN SO QUIETLY, FEW NOTICE THEY'RE HERE",17
ANGUISH RESIDES IN NEW IMMIG LAWS,17
ANSWERNET,18
ANTI-IMMIGRATION ORGANIZATION TO LAUNCH FLORIDA BALLOT DRIVE,19
ANTI-IMMIGRATION SCREED IGNORES VALUE TO NATION,17
APPEAL BOARD REVERSES DECISION ON DEPORTATIONS BASED ON DUI CONVICTIONS,19
APPLICANTS RACE CLOCK,19
"ARAB CABBIE SIGNED IN, FEDS MAY TOSS HIM OUT",17
"ARAB POPULATION IN U.S. ALMOST DOUBLES, CENSUS SHOWS/ LIBERALIZED IMMIGRATION, MIDDLE EAST UNREST ARE CITED AS FACTORS",17
"ARIZ. GOV SEZ BAM DENIES BORDER FENCE, WILL SEND HER SOME GUARDSMEN",19
ARIZ. LAW TAKES HEAT FROM TROP PROTESTERS,17
ARIZ. LIKELY CENTER STAGE FOR PRESSING FOR CHANGE,17
"ARIZONA IMMIGRATION LAW REQUIRES POLICE TO SEE A CRIME BEFORE CHECKING LEGAL STATUS, GOP STATE SENATOR SAYS",17
AROUND THE NATION; 119 Aliens Are Arrested Living Under Highways,19
AROUND THE NATION; 2 Men Get 5-Year Terms In Alien-Smuggling Case,19
AROUND THE NATION; 26 Aliens Found Locked In Railroad Car in Texas,17
AROUND THE NATION; Bogus Contest Lures 55 Aliens Into Custody,19
"AROUND THE NATION; Border Patrol at Tijuana Catches 49,599 Aliens",19
AROUND THE NATION; Court Affirms U.S. Acted Illegally on Haitians,17
AROUND THE NATION; Decline Is Suspected In Illegal Immigration,19
AROUND THE NATION; Ex-Fort Chaffee Guards To Be Retried in Assault,17
AROUND THE NATION; Homosexual Is Denied Citizenship in U.S.,19
AROUND THE NATION; Judge Denies a Motion To Stay Haitians' Parole,19
AROUND THE NATION; Lawsuit on Detention Of Haitians to Be Tried,18
AROUND THE NATION; Los Angeles City Council Softens Sanctuary Law,17
AROUND THE NATION; Marcello Deportation Order Is Upheld by Appeals Court,19
AROUND THE NATION; Mississippi College Aide Is Placed on Probation,19
AROUND THE NATION; Rumanian Defector Granted Asylum in U.S.,17
AROUND THE NATION; Salvadoran Is Sentenced In Alien Smuggling Case,19
AROUND THE NATION; Texan Indicted on Charges Of Holding Alien in Peonage,17
AROUND THE NATION; Wife of U.S. Citizen Deported to Philippines,19
AROUND THE NHL,19
AROUND THE WORLD,17
AROUND THE WORLD; U.S. and Vietnam Agree On Immigration Program,17
ARREST NEAR CHURCH CONFINES TERRIFIED HAITIANS TO HOMES,17
"ARRESTED WORKERS FILE LAWSUIT; WAL-MART, CONTRACTORS ACCUSED OF RACKETEERING",19
ARRESTED YOUTHS TO FACE CHECK BY STATE OF IMMIGRATION STATUS,19
ART REFLECTS IMMIGRANT SUFFERING; DE ANZA SHOW COUNTERS PROP. 187 SENTIMENT,17
"AS POPE SPOKE FOR ILLEGALS, U.S. ARRESTED THEM",17
ASIAN IMMIGRANTS A PILLAR OF U.S. INDUSTRY; STATISTICS STYMIE THOSE WHO WOULD BLOCK NEW ARRIVALS,17
"ASIAN IMMIGRANTS FARE BEST FINANCIALLY IN U.S., REPORT SAYS",18
AT A GLANCE,19
AT LAST! INS GETS BEEFED-UP STAFFING,17
"ATLANTA'S INTERNATIONAL VILLAGES / THE TURKS: 'American' adds to rich heritage; Business, study draw Turks here",17
ATLANTA-BOUND: Immigrant Freedom Rides roll,17
ATTORNEY SAYS WOMAN TOOK INFANT TO ADOPT,19
AU PAIRS' EMPLOYERS RUN AFOUL OF ALIENS LAW,17
AUDITORS SAY INS IS LAX ON TRACKING OF CRIMINALS ; REPORT FAULTS OFFICERS FOR INACTION AFTER INTERVIEWS ARE SKIPPED,19
AUTOMATIC CITIZENSHIP ISN'T UNIQUE,19
"AWAITING RULING ON ASYLUM, HAITIANS PONDER GOING HOME",17
"Abdel Elboukili Deportation hot on heels, Morocco native gives in",19
About New York; A Latin Takes Manhattan,17
"About New York; For Some Hispanic Immigrants, a Sense of Kinship With the Silent Laborers",17
Abroad at Home; 'Now We Are Ashamed',17
Abused Woman Is Denied Asylum; Immigration Ruling Reflects Split Over Gender Persecution,17
Accept investors and soldiers ; Jupiter trolls for potential Chinese developers.,17
Accessory for a U.S. Border Fence: A Welcome Mat for Foreign Loans,18
"Across the Borders, Across the Years",17
"Across the U.S., Immigrants Find the Land of Resentment",17
Activist holes up in church,17
Activists gird for Supreme Court's ruling on Ariz. immigration law,17
Ad watch: Romney pushes Obama on immigration promise,18
Additional `Letters to the Editor',17
Addressing Asylum Abuses,17
Adopting the American Dream; Immigrant Entrepreneurs Embrace Self-Employment and the Chance to Succeed,17
Advocated for immigrants from Central America,17
"Advocates Say Illegal Workers Suffer After 9/11 Cleanup; But a Recent N.Y. Program Offers Help to Many With Lung, Other Diseases",17
Advocates for Immigrants Say Suffolk Officials Foster Bias,17
Advocates of an Immigration Overhaul Question a Border Deployment,19
"Affidavit accuses Wal-Mart; Executives knew of illegal workers, unsealed 2003 document says",19
"Afraid of Husbands, and the Law; Deportation Risk Grows for Abused Illegal Residents",17
"Africans shift racial landscape Stereotypes mar interaction among African-Americans, immigrants.",17
"After 15 Years in Court, Workers' Lawsuit Against Trump Faces Yet Another Delay",17
"After 3-Year Battle, Chinese Teenager Is on Road to U.S. Citizenship",17
"After Chorus of Protest, New Tune on Deportations",17
"After Quake, a Sorrowful Journey to Colombia",17
"After fighting deportation for five years, green cards for Amin brothers",17
"After finally getting U.S. visa, Pakistani grandma reunites with family in Somerset, Wis.",17
After the Immigration Bill Stalled,19
Aftershocks Follow Immigration Raid; More Scrutiny for Slaughterhouse,19
Agencies Fail To Share Data With IRS; GAO Says Tax Violators Often Escape Notice,19
Agency Plans to Improve Oversight of Immigrant Detention,17
Agents arrest 115 immigrants,19
"Agents arrest four, say group smuggled immigrants in L.A.; SENIOR INS OFFICIAL WHO WORKS AT AIRPORT ACCUSED IN SCHEME",19
